,Query Description,Bulk Retrieval,,,,,,,,Bulk Retreival: partitionhash = [-1000, -1],,,,,,,,Bulk Retreival: carrierid = [18000, 19000],,,,,,,,Bulk Retreival: partitionhash <= [190512000, 190512039],,,,,,,,Bulk Retreival: subscriptionid >= [11111, 11611] AND subscriptionid <= [11111, 11611],,,,,,,,Bulk Retreival: partitionhash = [190512000, 190512039] AND subscriptionid >= [11111, 11611] AND subscriptionid <= [11111, 11611],,,,,,,,Partition Key Lookup: partitionhash = [190512000, 190512039],,,,,,,,Partition Key/Clustering Key Lookup: partitionhash = [190512000, 190512039] AND hashcode = [...],,,,,,,,
CH(JSON),Rows Selected,1,10,100,1000,10000,100000,1000000,,1,10,100,1000,10000,100000,1000000,,1,10,100,1000,10000,100000,1000000,,1,10,100,1000,10000,100000,1000000,,1,10,100,1000,10000,100000,1000000,,1,10,100,1000,10000,100000,1000000,,1,10,100,1000,10000,100000,1000000,,1,10,100,1000,10000,100000,1000000,,
,Rows Returned,1,10,100,1000,10000,100000,1000000,,0,0,0,0,0,0,0,,1,10,100,1000,10000,100000,120000,,1,10,100,1000,10000,100000,1000000,,1,10,100,1000,10000,100000,1000000,,1,10,100,1000,10000,100000,704760,,1,10,100,1000,10000,100000,1000000,,1,10,12,0,0,0,0,,
,Select Time,0.04,0.04,0.05,0.07,0.52,5.18,45.70,,20.24,0.00,0.00,0.00,0.00,0.00,0.00,,0.16,0.14,0.20,0.48,2.24,17.96,23.83,,0.16,0.12,0.13,0.15,0.47,4.03,42.27,,0.18,0.10,0.10,0.13,0.45,3.90,40.74,,1.47,1.37,1.58,2.07,1.66,6.36,42.22,,0.32,0.11,0.15,0.16,0.62,4.07,41.52,,0.44,7.33,24.55,0.00,0.00,0.00,0.00,,
,DataFrame Time,0.01,0.01,0.00,0.01,0.05,0.72,7.57,,0.07,0.00,0.00,0.00,0.00,0.00,0.00,,0.02,0.02,0.01,0.02,0.07,0.71,0.87,,0.03,0.01,0.01,0.01,0.05,0.65,7.62,,0.09,0.01,0.01,0.01,0.05,0.65,7.65,,0.11,0.01,0.01,0.01,0.07,0.68,6.96,,0.08,0.01,0.01,0.01,0.05,0.68,7.72,,0.11,0.02,0.01,0.00,0.00,0.00,0.00,,
,Total,0.05,0.05,0.05,0.08,0.57,5.90,53.27,,20.32,0.00,0.00,0.00,0.00,0.00,0.00,,0.17,0.15,0.21,0.50,2.31,18.67,24.70,,0.19,0.13,0.14,0.16,0.52,4.68,49.88,,0.27,0.11,0.11,0.14,0.50,4.55,48.39,,1.57,1.39,1.59,2.08,1.73,7.03,49.18,,0.41,0.12,0.16,0.17,0.67,4.74,49.24,,0.55,7.34,24.56,0.00,0.00,0.00,0.00,,

,Query Description,Bulk Retrieval,,,,,,,,Bulk Retreival: partitionhash = [-1000, -1],,,,,,,,Bulk Retreival: carrierid = [18000, 19000],,,,,,,,Bulk Retreival: partitionhash <= [190512000, 190512039],,,,,,,,Bulk Retreival: subscriptionid >= [11111, 11611] AND subscriptionid <= [11111, 11611],,,,,,,,Bulk Retreival: partitionhash = [190512000, 190512039] AND subscriptionid >= [11111, 11611] AND subscriptionid <= [11111, 11611],,,,,,,,Partition Key Lookup: partitionhash = [190512000, 190512039],,,,,,,,Partition Key/Clustering Key Lookup: partitionhash = [190512000, 190512039] AND hashcode = [...],,,,,,,,
CH(NEW),Rows Selected,1,10,100,1000,10000,100000,1000000,,1,10,100,1000,10000,100000,1000000,,1,10,100,1000,10000,100000,1000000,,1,10,100,1000,10000,100000,1000000,,1,10,100,1000,10000,100000,1000000,,1,10,100,1000,10000,100000,1000000,,1,10,100,1000,10000,100000,1000000,,1,10,100,1000,10000,100000,1000000,,
,Rows Returned,1,10,100,1000,10000,100000,1000000,,0,0,0,0,0,0,0,,1,10,100,1000,10000,100000,0,,1,10,100,1000,10000,100000,1000000,,1,10,100,1000,10000,100000,1000000,,1,10,100,1000,10000,100000,1000000,,1,10,100,1000,10000,100000,1000000,,1,10,12,0,0,0,0,,
,Select Time,0.04,0.04,0.04,0.07,0.48,3.81,39.65,,0.12,0.00,0.00,0.00,0.00,0.00,0.00,,0.10,0.09,0.09,0.14,0.44,3.36,0.00,,0.18,0.18,0.18,0.19,0.46,3.78,40.18,,0.27,0.17,0.15,0.18,0.48,4.07,39.99,,0.21,0.14,0.17,0.17,0.45,3.73,34.00,,0.26,0.20,0.19,0.17,0.50,4.16,46.07,,0.15,0.10,0.11,0.00,0.00,0.00,0.00,,
,DataFrame Time,0.01,0.01,0.00,0.01,0.05,0.66,7.87,,0.07,0.00,0.00,0.00,0.00,0.00,0.00,,0.01,0.01,0.01,0.01,0.05,0.63,0.00,,0.02,0.02,0.01,0.01,0.05,0.70,7.61,,0.08,0.00,0.01,0.02,0.06,0.67,7.69,,0.09,0.02,0.01,0.01,0.05,0.69,6.65,,0.08,0.02,0.01,0.01,0.05,0.69,7.66,,0.09,0.01,0.01,0.00,0.00,0.00,0.00,,
,Total,0.04,0.04,0.05,0.08,0.53,4.47,47.52,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,,0.12,0.10,0.10,0.15,0.49,3.99,0.00,,0.19,0.19,0.19,0.20,0.51,4.48,47.79,,0.35,0.17,0.16,0.20,0.54,4.74,47.68,,0.30,0.16,0.18,0.18,0.50,4.42,40.65,,0.34,0.22,0.20,0.19,0.55,4.85,53.73,,0.24,0.11,0.11,0.00,0.00,0.00,0.00,,

